id,ticker_id,article_id,interval,price,pct_change,created_at,relative_volume
1,1,1,since_open,10.510000228881836,-10.247649917642772,2025-12-14 15:28:18.982907+00:00,0.6139004563009294
2,1,1,1h,10.505000114440918,-0.047574827136325694,2025-12-14 15:28:18.982907+00:00,0.6139004563009294
3,1,1,4h,10.505000114440918,-0.047574827136325694,2025-12-14 15:28:18.982907+00:00,0.6139004563009294
4,1,1,EOD,10.510000228881836,0.0,2025-12-14 15:28:18.982907+00:00,0.6139004563009294
5,21,44,since_open,359.92999267578125,-5.271607334917255,2025-12-14 15:28:20.464826+00:00,3.0981779540262546
6,21,44,1h,359.8999938964844,-0.0083346150382909,2025-12-14 15:28:20.464826+00:00,3.0981779540262546
7,21,44,4h,359.8999938964844,-0.0083346150382909,2025-12-14 15:28:20.464826+00:00,3.0981779540262546
8,21,44,EOD,359.92999267578125,0.0,2025-12-14 15:28:20.464826+00:00,3.0981779540262546
9,4,4,since_open,4.090000152587891,0.7389214342651194,2025-12-14 15:28:22.111688+00:00,1.1052098450606613
10,4,4,1h,4.074999809265137,-0.3667565467757415,2025-12-14 15:28:22.111688+00:00,1.1052098450606613
11,4,4,4h,4.074999809265137,-0.3667565467757415,2025-12-14 15:28:22.111688+00:00,1.1052098450606613
12,4,4,EOD,4.090000152587891,0.0,2025-12-14 15:28:22.111688+00:00,1.1052098450606613
13,9,9,since_open,92.9800033569336,-0.021501766738071238,2025-12-14 15:28:23.736621+00:00,0.8472249404645409
14,9,9,1h,93.0,0.021506390992096135,2025-12-14 15:28:23.736621+00:00,0.8472249404645409
15,9,9,4h,93.0,0.021506390992096135,2025-12-14 15:28:23.736621+00:00,0.8472249404645409
16,9,9,EOD,92.9800033569336,0.0,2025-12-14 15:28:23.736621+00:00,0.8472249404645409
17,15,15,since_open,309.2900085449219,-1.412084871396113,2025-12-14 15:28:25.548690+00:00,0.5801675835480051
18,15,15,1h,309.2349853515625,-0.017790161931914888,2025-12-14 15:28:25.548690+00:00,0.5801675835480051
19,15,15,4h,309.2349853515625,-0.017790161931914888,2025-12-14 15:28:25.548690+00:00,0.5801675835480051
20,15,15,EOD,309.2900085449219,0.0,2025-12-14 15:28:25.548690+00:00,0.5801675835480051
21,18,18,since_open,50.18000030517578,-0.6926548240181136,2025-12-14 15:28:27.141352+00:00,0.6297526443758061
22,18,18,1h,50.16999816894531,-0.01993251528425576,2025-12-14 15:28:27.141352+00:00,0.6297526443758061
23,18,18,4h,50.16999816894531,-0.01993251528425576,2025-12-14 15:28:27.141352+00:00,0.6297526443758061
24,18,18,EOD,50.18000030517578,0.0,2025-12-14 15:28:27.141352+00:00,0.6297526443758061
25,21,21,since_open,359.92999267578125,-5.271607334917255,2025-12-14 15:28:28.729736+00:00,3.0981779540262546
26,21,21,1h,359.8999938964844,-0.0083346150382909,2025-12-14 15:28:28.729736+00:00,3.0981779540262546
27,21,21,4h,359.8999938964844,-0.0083346150382909,2025-12-14 15:28:28.729736+00:00,3.0981779540262546
28,21,21,EOD,359.92999267578125,0.0,2025-12-14 15:28:28.729736+00:00,3.0981779540262546
29,25,25,since_open,178.66000366210938,-0.41248063520112593,2025-12-14 15:28:30.277115+00:00,0.8331744070592774
30,25,25,1h,178.67999267578125,0.011188298030979116,2025-12-14 15:28:30.277115+00:00,0.8331744070592774
31,25,25,4h,178.67999267578125,0.011188298030979116,2025-12-14 15:28:30.277115+00:00,0.8331744070592774
32,25,25,EOD,178.66000366210938,0.0,2025-12-14 15:28:30.277115+00:00,0.8331744070592774
33,27,27,since_open,29.020000457763672,-1.023189768700799,2025-12-14 15:28:31.947265+00:00,0.718957204122253
34,27,27,1h,29.014999389648438,-0.01723317724447674,2025-12-14 15:28:31.947265+00:00,0.718957204122253
35,27,27,4h,29.014999389648438,-0.01723317724447674,2025-12-14 15:28:31.947265+00:00,0.718957204122253
36,27,27,EOD,29.020000457763672,0.0,2025-12-14 15:28:31.947265+00:00,0.718957204122253
37,28,28,since_open,118.81999969482422,-0.5190913713235952,2025-12-14 15:28:33.560701+00:00,0.9170218819701881
38,28,28,1h,118.81999969482422,0.0,2025-12-14 15:28:33.560701+00:00,0.9170218819701881
39,28,28,4h,118.81999969482422,0.0,2025-12-14 15:28:33.560701+00:00,0.9170218819701881
40,28,28,EOD,118.81999969482422,0.0,2025-12-14 15:28:33.560701+00:00,0.9170218819701881
41,21,29,since_open,359.92999267578125,-5.271607334917255,2025-12-14 15:28:35.156333+00:00,3.0981779540262546
42,21,29,1h,359.8999938964844,-0.0083346150382909,2025-12-14 15:28:35.156333+00:00,3.0981779540262546
43,21,29,4h,359.8999938964844,-0.0083346150382909,2025-12-14 15:28:35.156333+00:00,3.0981779540262546
44,21,29,EOD,359.92999267578125,0.0,2025-12-14 15:28:35.156333+00:00,3.0981779540262546
45,29,34,since_open,175.02000427246094,-3.4425634025602205,2025-12-14 15:28:36.719272+00:00,0.7527036121531087
46,29,34,1h,174.99000549316406,-0.017140200299718113,2025-12-14 15:28:36.719272+00:00,0.7527036121531087
47,29,34,4h,174.99000549316406,-0.017140200299718113,2025-12-14 15:28:36.719272+00:00,0.7527036121531087
48,29,34,EOD,175.02000427246094,0.0,2025-12-14 15:28:36.719272+00:00,0.7527036121531087
49,30,35,since_open,54.849998474121094,0.6976266658748269,2025-12-14 15:28:38.189154+00:00,0.6859263855244743
